Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C8, C9",0805,6,10uF,C6119887
"C11, C21",C_0402,2,1uF,C52923
C12,C_0603,1,33nF,C21117
"C13, C16, C19, C20, C5, C6, C7",C_0603,7,100nF,C14663
C14,R_0402,1,68pF,C76977
C15,C_0402,1,10uF,C15525
C17,1210,1,47uF,C77101
C18,C_0805,1,100nF,C28233
C22,C_Elec_8x10.2,1,470uF,C141429
C23,R_0603,1,3.3nF,C77036
C24,C_0402,1,100nF,C1525
"CN1, CN2, CN3",CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,3,S2B-PH-SM4-TB(LF)(SN),C295747
"D1, D5",D_0805,2,Red,C84256
"D2, D3, D4",D_DFN0603-2L,3,H5VL06B,C7420373
"D6, D8",D_SOD-123FL,2,1N4007W,C18199088
EN_TPS_JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Bridged,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Peltier,C7509570
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,12V_IN,C7509570
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
L1,0402,1,470uH,C5788770
L2,IND-SMD_L7.0-W6.6,1,TMPC0624H-6R8MG-D,C357230
"Q2, Q3",Q_SOT-23,2,AO3400A,C20917
Q4,TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL,1,IRF540NSTRLPBF,C23982
"R1, R4",R_0402,2,2kΩ,C4109
R10,R_0402,1,300Ω,C25102
R11,0402,1,30.9k,C2085168
"R12, R17, R22, R23, R25, R26, R29, R8",R_0402,8,10kΩ,C25744
"R13, R16, R24",R_0402,3,100Ω,C25076
R14,R_0402,1,100kΩ,C25741
R15,R_0402,1,4.7kΩ,C25900
"R18, R20, R21, R27",R_0402,4,47kΩ,C25792
R19,R_0402,1,11k,C705643
"R2, R3",R_0402,2,5.1kΩ,C25905
R28,R_0402,1,5.6kΩ,C25908
R30,R_0402,1,953,C852958
R5,R_0603,1,100m,C713431
R6,R_0402,1,510kΩ,C11616
R7,R_0402,1,88.7k,C477808
R9,R_0402,1,0Ω,C17168
RT1,TestPoint_Pad_D1.0mm,1,RT_TP,
"S1, S2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,"Tactile Button, 160gf",C318884
TP1,TestPoint_Pad_1.0x1.0mm,1,VBUS,
TP2,TestPoint_Pad_D1.0mm,1,ST_R,
TP3,TestPoint_Pad_D1.0mm,1,12V_OUT_TP,
TPS_ST1,TestPoint_Pad_D1.0mm,1,TPS_BST_TP,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,LM66200DRLR,C3235556
U3,SOT-583-8,1,TPS62932,C3032935
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R8,C2913202
"U5, U6",CONN-SMD_SM03B-SRSS-TB-LF-SN-P,2,SM03B-SRSS-TB(LF)(SN)(P),C160403
"U7, U8",SENSOR-SMD_L3.0-W3.0-P1.00-BR,2,AHT20_C2757850,C2757850
U9,VQFN-10_L2.0-W2.0-P0.45-TL,1,TPS22811LRPWR_C17294173,C17294173
