Designator,Mid X,Mid Y,Rotation,Layer
C1,104.5,-140.39,90.0,top
C11,109.5,-115.35,270.0,top
C12,118.72,-138.2,180.0,top
C13,118.0,-135.0,90.0,top
C14,115.4,-124.0,180.0,top
C15,88.8,-136.2,180.0,top
C16,88.8,-134.8,180.0,top
C17,122.6,-122.2,0.0,top
C18,123.0,-119.4,0.0,top
C19,162.38,-130.0,0.0,top
C2,126.1084,-133.4,90.0,top
C20,93.4,-111.2,0.0,top
C21,142.8,-134.0834,0.0,top
C22,136.6774,-130.0548,270.0,top
C23,145.8,-134.2,90.0,top
C24,131.8,-137.4,270.0,top
C3,128.3024,-132.3704,90.0,top
C4,130.4,-132.2818,90.0,top
C5,104.9,-136.99,90.0,top
C6,106.62,-112.8,0.0,top
C7,107.0,-142.8,180.0,top
C8,128.2,-137.35,270.0,top
C9,130.2,-137.35,270.0,top
CN1,110.85,-148.87,0.0,top
CN2,164.75,-148.67,0.0,top
CN3,173.9,-148.6,0.0,top
D1,110.6,-120.6,90.0,top
D2,98.6,-142.0,0.0,top
D3,99.6,-142.0,180.0,top
D4,104.85,-142.79,90.0,top
D5,96.25,-139.39,90.0,top
D6,173.8,-141.6,0.0,top
D8,164.8,-141.6,0.0,top
J1,99.5,-149.35,0.0,top
J2,153.595,-147.9725,0.0,top
J3,141.595,-147.9725,0.0,top
L1,128.2,-134.8,0.0,top
L2,119.0,-128.8,270.0,top
Q2,164.75,-138.34,270.0,top
Q3,173.6,-138.14,270.0,top
Q4,154.2,-124.31,270.0,top
R1,110.5122,-124.0512,90.0,top
R10,115.0,-127.4,270.0,top
R11,119.0,-140.6,90.0,top
R12,120.2,-140.6,270.0,top
R13,153.8,-118.51,90.0,top
R14,154.4,-116.91,0.0,top
R15,122.4,-146.8,90.0,top
R16,165.55,-135.28,270.0,top
R17,164.15,-135.88,0.0,top
R18,144.2,-140.4,0.0,top
R19,144.2,-139.4,180.0,top
R2,97.65,-141.99,90.0,top
R20,142.3,-139.4,180.0,top
R21,146.8,-139.8,270.0,top
R22,162.9,-127.0,0.0,top
R23,93.8,-112.4,180.0,top
R24,174.8,-135.08,270.0,top
R25,173.4,-135.68,0.0,top
R26,99.4,-112.2,0.0,top
R27,147.0,-137.0,270.0,top
R28,146.0,-139.8,270.0,top
R29,161.6,-132.0,0.0,top
R3,100.65,-141.99,90.0,top
R30,144.2,-134.6,90.0,top
R4,96.05,-141.79,0.0,top
R5,124.4,-137.2,270.0,top
R6,124.8,-140.6,90.0,top
R7,123.8,-140.6,270.0,top
R8,116.4,-115.4,90.0,top
R9,118.3,-137.0,180.0,top
S1,122.8,-115.4,0.0,top
S2,113.0,-115.4,0.0,top
U1,110.25,-138.19,180.0,top
U2,112.95,-127.44,180.0,top
U3,122.0798,-136.0878,180.0,top
U4,93.34,-123.9,90.0,top
U5,118.95,-150.33,0.0,top
U6,125.85,-150.24,0.0,top
U7,169.4,-130.2,90.0,top
U8,96.6,-111.2,180.0,top
U9,144.6276,-137.0634,90.0,top
