"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1-C4,C8,C9","10uF","Capacitor_SMD:C_0805_2012Metric","6","10uF ±10% 25V Ceramic Capacitor X5R 0805","","","C6119887"
"C5-C7,C13,C16,C19,C20","100nF","PCM_JLCPCB:C_0603","7","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YAGEO","","C14663"
"C11,C21","1uF","PCM_JLCPCB:C_0402","2","25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C52923"
"C12","33nF","PCM_JLCPCB:C_0603","1","50V 33nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C21117"
"C14","68pF","PCM_JLCPCB:R_0402","1","68pF ±5% 50V Ceramic Capacitor C0G 0402","","","C76977"
"C15","10uF","PCM_JLCPCB:C_0402","1","6.3V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C15525"
"C17","47uF","Capacitor_SMD:C_1210_3225Metric","1","47uF ±10% 16V Ceramic Capacitor X5R 1210","","","C77101"
"C18","100nF","PCM_JLCPCB:C_0805","1","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C28233"
"C22","470uF","Capacitor_SMD:C_Elec_8x10.2","1","Polarized capacitor","","","C141429"
"C23","3.3nF","PCM_JLCPCB:R_0603","1","Unpolarized capacitor, small symbol","","","C77036"
"C24","100nF","PCM_JLCPCB:C_0402","1","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C1525"
"CN1-CN3","S2B-PH-SM4-TB(LF)(SN)",":CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN","3","","","",""
"D1,D5","Red","PCM_JLCPCB:D_0805","2","25mA Colorless transparent lens 67mcd~195mcd -30°C~+85°C 615nm~630nm Individual diode Red 130° 65mW 1.6V~2.6V 0805 LED Indication - Discrete ROHS","Foshan NationStar Optoelectronics","","C84256"
"D2-D4","H5VL06B","PCM_JLCPCB:D_DFN0603-2L","3","8A 10V 80W 5.6V Bidirectional 5V DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS","hongjiacheng","","C7420373"
"D6,D8","1N4007W","PCM_JLCPCB:D_SOD-123FL","2","Independent Type 1A 1kV 1V@1.0A SOD-123FL Diodes - General Purpose ROHS","hongjiacheng","","C18199088"
"EN_TPS_JP1","Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","1","Jumper, 2-pole, closed/bridged","","",""
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4110","1","USB 2.0-only 16P Type-C Receptacle connector","","",""
"J2","Peltier","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","","C7509570"
"J3","12V_IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","","C7509570"
"J4,J5","Conn_01x02","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","2","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"JP1","Jumper_2_Open","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","1","Jumper, 2-pole, open","","",""
